user_id,name,total_spent,spending_rank
11704,"Sneha Singh",1377323.31,1
10782,"Sneha Shah",1205773,2
10794,"Kavya Mehta",1144121.27,3
11062,"Ankit Sharma",1134039.8,4
14480,"Kavya Malhotra",1072029.97,5
13743,"Abhishek Mehta",1021140.38,6
11339,"Neeraj Joshi",942194.56,7
11855,"Simran Malhotra",939291.6,8
13955,"Karan Kapoor",922744.68,9
11209,"Vivaan Singh",906862.64,10
12061,"Rahul Kapoor",904850.72,11
11846,"Riya Chauhan",849290.57,12
14626,"Neeraj Sinha",826309.61,13
13424,"Aman Kumar",813001.32,14
13387,"Varun Gupta",785932.29,15
14775,"Vivaan Kumar",777361.27,16
12369,"Priya Verma",767591.3,17
14488,"Ananya Sharma",762244.84,18
11313,"Ankit Kapoor",759487.06,19
10322,"Riya Sinha",740667.51,20
13878,"Varun Srivastava",738443.95,21
10047,"Nikhil Sinha",734624.09,22
13127,"Arjun Sinha",732757.34,23
11779,"Aditya Agarwal",731228.29,24
13154,"Rohit Chauhan",728666.26,25
11513,"Neeraj Srivastava",726579.02,26
11039,"Himanshu Malhotra",725942.99,27
11466,"Vivaan Jain",723048.73,28
12409,"Akash Mishra",721150.45,29
14490,"Isha Joshi",720906.45,30
14249,"Himanshu Mishra",718824.32,31
14031,"Ananya Sinha",715039.75,32
10289,"Rohan Sharma",714663.41,33
14442,"Pooja Kumar",714317.31,34
10964,"Simran Yadav",709877.62,35
10083,"Ananya Joshi",705970.96,36
13864,"Ankit Verma",704309.63,37
12996,"Himanshu Patel",703885.63,38
12776,"Kavya Singh",700188.84,39
13552,"Priya Shah",698376.26,40
14114,"Arjun Sharma",696946.33,41
11568,"Akash Shah",696701.24,42
13449,"Neha Gupta",689720.1,43
13797,"Sneha Sinha",689437.57,44
10376,"Himanshu Jain",688310.06,45
11162,"Akash Mishra",679827.27,46
13439,"Akash Gupta",678566.76,47
11310,"Akash Gupta",676239.49,48
12859,"Vivaan Yadav",673106.53,49
13602,"Rahul Mehta",672924.6,50
11401,"Nikhil Chauhan",671001.37,51
13218,"Arjun Verma",666629.17,52
10225,"Ankit Verma",662679.31,53
11630,"Himanshu Yadav",661011.78,54
12131,"Neeraj Mishra",658692.64,55
10932,"Nikhil Gupta",658459.41,56
11316,"Neha Sinha",658219.63,57
12601,"Sneha Chauhan",657554.99,58
12377,"Sahil Kapoor",655956.14,59
11440,"Priya Tiwari",655649.21,60
14817,"Neha Gupta",652349.45,61
11066,"Neeraj Jain",650377.13,62
10122,"Rohit Jain",650371.09,63
10247,"Isha Srivastava",649850.74,64
13335,"Rohan Mishra",649517.32,65
11941,"Aarav Patel",645484.95,66
13576,"Neha Mehta",645482.28,67
11747,"Abhishek Singh",644487.01,68
11065,"Rohit Jain",643992.42,69
14673,"Sahil Kapoor",643946.58,70
12240,"Akash Gupta",643727.47,71
13718,"Abhishek Singh",639525.61,72
13656,"Pooja Singh",639172.21,73
11205,"Akash Sharma",638420.51,74
13532,"Ankit Srivastava",636275.07,75
12264,"Aditi Agarwal",633587.94,76
12457,"Aarav Gupta",633412.77,77
10747,"Rohit Chauhan",633411.59,78
11600,"Kavya Joshi",633178.93,79
11909,"Sneha Mishra",631712.04,80
10643,"Pooja Mishra",630590.6,81
10737,"Isha Bansal",630095.39,82
14973,"Riya Singh",628822.79,83
14861,"Rohan Patel",628331.45,84
10037,"Vivaan Kumar",627875.24,85
14327,"Kavya Kapoor",627435.24,86
13859,"Neeraj Bansal",622217.11,87
10468,"Rahul Srivastava",621328.62,88
11526,"Rohit Kumar",618134.95,89
13068,"Rahul Shah",617945.81,90
10156,"Kavya Agarwal",617530.09,91
12772,"Aditi Joshi",617208.33,92
13802,"Vikas Patel",614790.35,93
11423,"Nikhil Chauhan",613317.45,94
10132,"Mohit Agarwal",612920.44,95
11529,"Neha Chauhan",611963.68,96
14354,"Riya Kumar",611096.05,97
13897,"Riya Verma",609776.47,98
11885,"Isha Joshi",608699.47,99
13610,"Karan Agarwal",606832.42,100
14583,"Vikas Mehta",605604.36,101
12841,"Riya Kumar",605485.2,102
11810,"Akash Patel",604754.75,103
11823,"Ananya Malhotra",603671.95,104
10515,"Akash Chauhan",602902.2,105
12625,"Arjun Agarwal",602340.04,106
10710,"Ananya Patel",600571.53,107
13396,"Riya Chauhan",600328.95,108
14718,"Priya Mishra",600197.95,109
14203,"Karan Bansal",599560.23,110
14365,"Sahil Verma",597953.52,111
14579,"Rohan Patel",597222.4,112
14496,"Simran Patel",594221.37,113
10159,"Rahul Sinha",592062.47,114
11725,"Vivaan Verma",591562.16,115
11321,"Mohit Verma",591444.78,116
14050,"Rohan Mishra",589744.15,117
10602,"Sneha Srivastava",589072.18,118
13110,"Pooja Tiwari",588715.43,119
14300,"Rohan Verma",588524.06,120
10416,"Rohit Tiwari",588486.9,121
14148,"Vivaan Bansal",588464.62,122
11019,"Neeraj Kapoor",587421.79,123
14938,"Himanshu Agarwal",587397.52,124
10198,"Simran Kumar",587017.77,125
10154,"Karan Bansal",584836.35,126
12960,"Rohit Shah",584067.98,127
10607,"Himanshu Shah",581480.6,128
11483,"Vivaan Patel",581232.69,129
13342,"Yash Gupta",580889.82,130
12308,"Priya Tiwari",580348.72,131
14195,"Isha Joshi",578438.72,132
11228,"Rahul Singh",578369.09,133
12773,"Sahil Sharma",575395.53,134
11718,"Varun Yadav",574273.38,135
13572,"Sahil Mishra",574137,136
13205,"Pooja Gupta",571776.4,137
11545,"Rahul Mishra",571487.95,138
13312,"Rohan Tiwari",570955.87,139
10461,"Karan Joshi",568494.93,140
13838,"Nikhil Bansal",567979.3,141
14230,"Akash Chauhan",567300,142
13400,"Neha Kapoor",567298.71,143
10790,"Nikhil Malhotra",566777.81,144
14586,"Arjun Bansal",563899.62,145
11332,"Aarav Malhotra",563853.72,146
13158,"Yash Singh",563804.99,147
12811,"Neha Shah",562141.84,148
12970,"Simran Bansal",560546.26,149
13442,"Simran Srivastava",560294.13,150
14317,"Pooja Bansal",559182.97,151
10878,"Pooja Patel",559051.06,152
10465,"Rahul Kapoor",558122.6,153
10529,"Kavya Mishra",556131.54,154
14088,"Rohit Singh",556084.64,155
14991,"Rohan Chauhan",556030.28,156
14397,"Nikhil Jain",553659.18,157
10544,"Rahul Sharma",552270.06,158
12026,"Isha Verma",550282.62,159
11445,"Aman Bansal",550174.73,160
11737,"Nikhil Jain",549033.49,161
10300,"Priya Tiwari",548536.35,162
12009,"Vivaan Mehta",546820.19,163
14280,"Aditya Joshi",545659.26,164
11903,"Aditi Chauhan",545349.69,165
10024,"Nikhil Agarwal",545146.05,166
10891,"Aditi Kapoor",544414.15,167
14885,"Vivaan Bansal",541323.18,168
10735,"Sahil Singh",541215.62,169
10210,"Kavya Sinha",540094.82,170
14410,"Neha Singh",539268.85,171
11450,"Neha Kumar",538608.76,172
13929,"Ankit Kumar",538477.49,173
12050,"Varun Patel",536992.52,174
13149,"Akash Sinha",535690.51,175
